codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_06,512,20,32,9.96138,6.37742,112006,3.41815185546875,30.40296836639135,0.9936250792481618,,unavailable,unverified_lpips
CAPS,kodak_06,1024,100,32,68.21,32.0203,1720691,13.127830505371094,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_06,1024,90,32,49.682,26.092,1068418,8.151382446289062,41.121477678516044,0.9995002790686675,,unavailable,unverified_lpips
CAPS,kodak_06,1024,82,32,36.9647,21.8844,583726,4.4534759521484375,37.778858413459076,0.9988435442610369,,unavailable,unverified_lpips
CAPS,kodak_06,1024,82,64,37.1152,21.986,520475,3.9709091186523438,37.778858413459076,0.9988435442610369,,unavailable,unverified_lpips
CAPS,kodak_06,1024,70,32,35.424,21.5137,450748,3.438934326171875,35.51974513773289,0.9978960752346729,,unavailable,unverified_lpips
CAPS,kodak_06,1024,50,32,32.708,20.5457,345319,2.6345748901367188,32.99996273723941,0.9960041526299993,,unavailable,unverified_lpips
CAPS,kodak_06,1024,35,32,31.9125,20.5698,310613,2.3697891235351562,31.76841708972991,0.9947175056543208,,unavailable,unverified_lpips
CAPS,kodak_06,1024,20,32,30.0622,19.8185,282619,2.1562118530273438,29.6802980176644,0.9917906419624931,,unavailable,unverified_lpips
CAPS,kodak_07,512,100,32,19.0976,9.27183,505298,15.42047119140625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_07,512,90,32,13.7808,7.6195,327834,10.00469970703125,42.16326906317789,0.9992901632029515,,unavailable,unverified_lpips
CAPS,kodak_07,512,82,32,11.0137,6.64912,184906,5.64288330078125,38.73193514109306,0.9983029473180498,,unavailable,unverified_lpips
CAPS,kodak_07,512,82,64,11.0178,6.92642,174879,5.336883544921875,38.73193514109306,0.9983029473180498,,unavailable,unverified_lpips
CAPS,kodak_07,512,70,32,10.1589,6.14267,143709,4.385650634765625,36.434632448574234,0.9967881019822742,,unavailable,unverified_lpips
CAPS,kodak_07,512,50,32,9.02717,6.09262,107617,3.284210205078125,33.51611471017546,0.9928852456831053,,unavailable,unverified_lpips
CAPS,kodak_07,512,35,32,8.87104,5.80804,97038,2.96136474609375,32.22412382266904,0.9899190722036788,,unavailable,unverified_lpips
CAPS,kodak_07,512,20,32,8.58788,5.77404,87361,2.666046142578125,30.70186182999443,0.986433444855936,,unavailable,unverified_lpips
CAPS,kodak_07,1024,100,32,63.3129,32.3352,1552856,11.84735107421875,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_07,1024,90,32,43.8349,25.7991,924939,7.056724548339844,41.068520674111284,0.9989912122070015,,unavailable,unverified_lpips
CAPS,kodak_07,1024,82,32,33.6625,21.4558,452507,3.4523544311523438,37.955507088545524,0.9977450279652084,,unavailable,unverified_lpips
CAPS,kodak_07,1024,82,64,34.122,21.4772,381304,2.90911865234375,37.955507088545524,0.9977450279652084,,unavailable,unverified_lpips
CAPS,kodak_07,1024,70,32,31.0382,20.909,332730,2.5385284423828125,35.67877288170962,0.9958579499137268,,unavailable,unverified_lpips
CAPS,kodak_07,1024,50,32,29.9078,20.6424,251414,1.9181365966796875,32.84225458009726,0.9913387838682731,,unavailable,unverified_lpips
CAPS,kodak_07,1024,35,32,28.81,19.3584,230862,1.7613372802734375,31.625438402322942,0.9877823293064696,,unavailable,unverified_lpips
CAPS,kodak_07,1024,20,32,28.2128,19.0083,214342,1.6352996826171875,30.167901633728643,0.9833223173337162,,unavailable,unverified_lpips
CAPS,kodak_08,512,100,32,21.7075,9.40629,629503,19.210906982421875,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_08,512,90,32,17.6921,8.24133,428306,13.07086181640625,42.14630653562429,0.9996615066193467,,unavailable,unverified_lpips
CAPS,kodak_08,512,82,32,13.574,7.27204,292266,8.91925048828125,38.37085778726073,0.9991332957935906,,unavailable,unverified_lpips
CAPS,kodak_08,512,82,64,13.6802,7.46637,283031,8.637420654296875,38.37085778726073,0.9991332957935906,,unavailable,unverified_lpips
CAPS,kodak_08,512,70,32,12.4122,6.95229,231776,7.0732421875,35.88954951934505,0.9983433389274409,,unavailable,unverified_lpips
CAPS,kodak_08,512,50,32,11.1045,6.49358,176465,5.385284423828125,33.17671431737102,0.9967740536166346,,unavailable,unverified_lpips
CAPS,kodak_08,512,35,32,10.7062,6.33583,155432,4.743408203125,31.714216896139163,0.9954614051403701,,unavailable,unverified_lpips
CAPS,kodak_08,512,20,32,11.5692,6.882,137402,4.19317626953125,29.925812999588764,0.9929444689710314,,unavailable,unverified_lpips
CAPS,kodak_08,1024,100,32,75.7961,32.8691,1995557,15.224891662597656,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_08,1024,90,32,51.1562,27.4287,1278498,9.754165649414062,40.97531190972311,0.9995291438708008,,unavailable,unverified_lpips
CAPS,kodak_08,1024,82,32,42.418,24.0642,768295,5.861625671386719,37.25919134334404,0.998808687673277,,unavailable,unverified_lpips
CAPS,kodak_08,1024,82,64,41.1666,23.9329,715033,5.455268859863281,37.25919134334404,0.998808687673277,,unavailable,unverified_lpips
CAPS,kodak_08,1024,70,32,37.6165,21.845,595655,4.544486999511719,34.8602264137085,0.9977770241116432,,unavailable,unverified_lpips
CAPS,kodak_08,1024,50,32,33.5388,21.8476,445473,3.3986892700195312,32.17518370711586,0.995741045947709,,unavailable,unverified_lpips
CAPS,kodak_08,1024,35,32,32.806,21.123,399231,3.0458908081054688,30.778065283401368,0.9940988633483717,,unavailable,unverified_lpips
CAPS,kodak_08,1024,20,32,32.1185,20.3259,357854,2.7302093505859375,29.09407624914339,0.9911624704546436,,unavailable,unverified_lpips
CAPS,kodak_09,512,100,32,18.694,9.04479,503533,15.366607666015625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_09,512,90,32,14.1654,7.57525,326355,9.959564208984375,42.28905613726632,0.9992384401392679,,unavailable,unverified_lpips
CAPS,kodak_09,512,82,32,11.173,6.76546,181958,5.55291748046875,39.17188144456108,0.9983652582786339,,unavailable,unverified_lpips
CAPS,kodak_09,512,82,64,10.8692,6.51871,174007,5.310272216796875,39.17188144456108,0.9983652582786339,,unavailable,unverified_lpips
CAPS,kodak_09,512,70,32,9.882,6.18821,134357,4.100250244140625,36.73880797500887,0.9968717052345413,,unavailable,unverified_lpips
CAPS,kodak_09,512,50,32,9.10654,7.88104,96694,2.95086669921875,33.908872362140755,0.9926458000208022,,unavailable,unverified_lpips
CAPS,kodak_09,512,35,32,8.71363,6.08621,85368,2.605224609375,32.64000398130267,0.9895937792300772,,unavailable,unverified_lpips
CAPS,kodak_09,512,20,32,8.60096,5.89933,76860,2.3455810546875,31.224753581897854,0.9877725351400407,,unavailable,unverified_lpips
CAPS,kodak_09,1024,100,32,65.0084,32.1042,1586538,12.104324340820312,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_09,1024,90,32,44.4331,25.4053,983973,7.507118225097656,41.16814126745885,0.9988915556893898,,unavailable,unverified_lpips
CAPS,kodak_09,1024,82,32,34.1021,21.8124,476493,3.6353530883789062,38.355679346886845,0.9978062895903702,,unavailable,unverified_lpips
CAPS,kodak_09,1024,82,64,33.6819,27.4646,410432,3.13134765625,38.355679346886845,0.9978062895903702,,unavailable,unverified_lpips
CAPS,kodak_09,1024,70,32,31.3012,20.6481,340636,2.598846435546875,36.07852561347467,0.9960857717822741,,unavailable,unverified_lpips
CAPS,kodak_09,1024,50,32,29.3265,19.6777,252719,1.9280929565429688,33.27204245284459,0.9914328663692441,,unavailable,unverified_lpips
CAPS,kodak_09,1024,35,32,28.7246,20.058,229833,1.7534866333007812,32.06022404910331,0.9876349308527329,,unavailable,unverified_lpips
CAPS,kodak_09,1024,20,32,28.105,18.6122,211244,1.611663818359375,30.642094297221753,0.985033660796939,,unavailable,unverified_lpips
CAPS,kodak_10,512,100,32,18.9763,8.80417,525523,16.037689208984375,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_10,512,90,32,13.9902,7.81829,343196,10.4735107421875,42.225792279748546,0.9992484004524109,,unavailable,unverified_lpips
CAPS,kodak_10,512,82,32,11.4596,7.02987,196702,6.00286865234375,38.87116796824499,0.9982393763293118,,unavailable,unverified_lpips
CAPS,kodak_10,512,82,64,11.4603,6.882,190493,5.813385009765625,38.87116796824499,0.9982393763293118,,unavailable,unverified_lpips
CAPS,kodak_10,512,70,32,10.2431,6.45604,146488,4.470458984375,36.67216965330294,0.9967586864110809,,unavailable,unverified_lpips
CAPS,kodak_10,512,50,32,8.88288,5.97171,105957,3.233551025390625,33.6906497737193,0.9931438892502406,,unavailable,unverified_lpips
CAPS,kodak_10,512,35,32,8.83737,5.61979,94080,2.87109375,32.35252771907915,0.9891804157258101,,unavailable,unverified_lpips
CAPS,kodak_10,512,20,32,8.52554,5.69383,84704,2.5849609375,30.55315162269093,0.9833546535336596,,unavailable,unverified_lpips
CAPS,kodak_10,1024,100,32,66.8442,32.2572,1632436,12.454498291015625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_10,1024,90,32,44.8417,25.6412,1015657,7.748847961425781,41.1507103528691,0.998927120118618,,unavailable,unverified_lpips
CAPS,kodak_10,1024,82,32,34.1003,21.1732,494440,3.77227783203125,38.08728694553381,0.9976450851204176,,unavailable,unverified_lpips
CAPS,kodak_10,1024,82,64,33.491,21.4519,434190,3.3126068115234375,38.08728694553381,0.9976450851204176,,unavailable,unverified_lpips
CAPS,kodak_10,1024,70,32,31.5363,20.6517,355666,2.7135162353515625,35.97266735352035,0.9958699780446281,,unavailable,unverified_lpips
CAPS,kodak_10,1024,50,32,29.0182,19.5716,261964,1.998626708984375,32.971018805794415,0.9915417896098219,,unavailable,unverified_lpips
CAPS,kodak_10,1024,35,32,27.7418,18.9458,238144,1.81689453125,31.759335978022193,0.9873058351551663,,unavailable,unverified_lpips
CAPS,kodak_10,1024,20,32,27.8884,18.4652,218808,1.66937255859375,30.0434205079871,0.9805963779020811,,unavailable,unverified_lpips
CAPS,kodak_11,512,100,32,19.3869,8.89329,541059,16.511810302734375,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_11,512,90,32,14.7489,7.53608,362484,11.0621337890625,42.24139790500611,0.9993488322713459,,unavailable,unverified_lpips
CAPS,kodak_11,512,82,32,11.8928,6.87508,223362,6.81646728515625,38.75832300469496,0.9984859942000909,,unavailable,unverified_lpips
CAPS,kodak_11,512,82,64,12.0093,7.26908,214711,6.552459716796875,38.75832300469496,0.9984859942000909,,unavailable,unverified_lpips
CAPS,kodak_11,512,70,32,10.704,6.52358,176665,5.391387939453125,36.55944592717268,0.9972600681062991,,unavailable,unverified_lpips
CAPS,kodak_11,512,50,32,9.79917,6.11362,133357,4.069732666015625,33.87587860085982,0.9947286243986347,,unavailable,unverified_lpips
CAPS,kodak_11,512,35,32,9.43075,6.28808,119635,3.650970458984375,32.6862663404575,0.992896943154778,,unavailable,unverified_lpips
CAPS,kodak_11,512,20,32,9.13342,5.99267,107629,3.284576416015625,31.099852396509604,0.9899079276099102,,unavailable,unverified_lpips
CAPS,kodak_11,1024,100,32,68.8136,30.9443,1696010,12.939529418945312,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_11,1024,90,32,45.3029,25.0834,1056290,8.058853149414062,41.13127774498197,0.9990915276902647,,unavailable,unverified_lpips
CAPS,kodak_11,1024,82,32,36.3176,22.2876,572634,4.3688507080078125,37.835650036927795,0.9979325900481543,,unavailable,unverified_lpips
CAPS,kodak_11,1024,82,64,35.872,21.866,512096,3.906982421875,37.835650036927795,0.9979325900481543,,unavailable,unverified_lpips
CAPS,kodak_11,1024,70,32,33.2244,20.963,432901,3.3027725219726562,35.64392536532527,0.9963052508978398,,unavailable,unverified_lpips
CAPS,kodak_11,1024,50,32,30.4909,19.7887,327879,2.5015182495117188,33.01686542266702,0.993018138665734,,unavailable,unverified_lpips
CAPS,kodak_11,1024,35,32,29.8587,19.3998,293742,2.2410736083984375,31.87816791253958,0.9906617849870264,,unavailable,unverified_lpips
CAPS,kodak_11,1024,20,32,29.8665,19.5688,265969,2.0291824340820312,30.296400886451792,0.9867705315010863,,unavailable,unverified_lpips
CAPS,kodak_12,512,100,32,18.7056,8.99817,499202,15.23443603515625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_12,512,90,32,13.7097,7.66204,326134,9.95281982421875,42.32506278109866,0.9994905793591811,,unavailable,unverified_lpips
CAPS,kodak_12,512,82,32,10.844,6.78354,182985,5.584259033203125,38.87466445257217,0.9987588787490296,,unavailable,unverified_lpips
CAPS,kodak_12,512,82,64,11.2292,6.58492,174345,5.320587158203125,38.87466445257217,0.9987588787490296,,unavailable,unverified_lpips
CAPS,kodak_12,512,70,32,9.86133,6.00271,137198,4.18695068359375,36.65725654129568,0.9976920828261707,,unavailable,unverified_lpips
CAPS,kodak_12,512,50,32,9.09658,5.72692,102771,3.136322021484375,34.51439210227355,0.995779516196413,,unavailable,unverified_lpips
CAPS,kodak_12,512,35,32,8.78721,5.54758,92272,2.81591796875,32.99898135707504,0.9941256358404227,,unavailable,unverified_lpips
CAPS,kodak_12,512,20,32,8.34429,5.65879,83424,2.5458984375,31.031613350247035,0.990403062847321,,unavailable,unverified_lpips
