image,size,layer,decode_ms,psnr,ms_ssim
kodak_13,512,3,8.55529,38.09737773026319,0.9988350174139843
kodak_13,1024,0,18.572,19.08818249607659,0.8880674704914029
kodak_13,1024,1,19.5934,20.31272230307881,0.9263845244675268
kodak_13,1024,2,19.5163,22.910630066681353,0.9664952202298872
kodak_13,1024,3,24.4032,29.312776240699264,0.9942754706466015
kodak_13,1024,4,26.9689,36.927316133298305,0.9983432829984977
kodak_14,512,0,5.04913,22.094442909362996,0.9480159375412044
kodak_14,512,1,6.14667,24.231352910261442,0.975058342396757
kodak_14,512,2,6.34425,27.689942054375827,0.991301346314796
kodak_14,512,3,7.5245,38.51654728246367,0.9987287997957255
kodak_14,1024,0,18.2815,21.972553761258425,0.9313128231769974
kodak_14,1024,1,18.3002,24.025183520843058,0.9631572215734726
kodak_14,1024,2,18.849,27.216190227203768,0.9850055929576594
kodak_14,1024,3,21.1972,33.44694681940089,0.996862127642028
kodak_14,1024,4,26.2188,37.461553219121384,0.9982265241781252
kodak_15,512,0,5.21483,23.219547524357136,0.9857819436363962
kodak_15,512,1,5.40567,25.44366780181918,0.9928225629152401
kodak_15,512,2,5.86658,29.698916242771794,0.9979728357389606
kodak_15,512,3,7.37137,39.17590478415931,0.9996050714781938
kodak_15,1024,0,18.6331,23.01344939683641,0.9812252761828006
kodak_15,1024,1,19.0185,25.012176445649345,0.9892026781807773
kodak_15,1024,2,18.904,28.880627643476796,0.9963420000854907
kodak_15,1024,3,20.4059,35.07657190535147,0.9991686411202898
kodak_15,1024,4,22.4817,38.366419599523205,0.9994671811043829
kodak_16,512,0,5.18054,26.059825792962922,0.9773204564517148
kodak_16,512,1,6.04562,27.319643211728895,0.9857994171891118
kodak_16,512,2,5.68808,29.771420480701497,0.9931493558929387
kodak_16,512,3,6.84037,39.01391157696467,0.9986812133833333
kodak_16,1024,0,18.0281,26.06778773476033,0.9693898726535737
kodak_16,1024,1,17.9007,27.32374876124044,0.979261142952096
kodak_16,1024,2,18.7296,29.72942214081714,0.9889960208270837
kodak_16,1024,3,19.9872,35.524568896892276,0.9973907839395773
kodak_16,1024,4,25.2807,38.146304836404,0.9981903177733632
kodak_17,512,0,5.257,24.39504845756211,0.9688775061202862
kodak_17,512,1,5.45812,26.833836788654807,0.9858646549126455
kodak_17,512,2,5.85767,30.724749169255674,0.9955890261483697
kodak_17,512,3,7.32804,38.89579422518092,0.9989075796322414
kodak_17,1024,0,18.9555,24.201210030392765,0.9594016653845041
kodak_17,1024,1,18.4308,26.4797205772277,0.9792397440486096
kodak_17,1024,2,18.2974,29.85235392991902,0.9921668858172773
kodak_17,1024,3,21.1875,34.8098744790192,0.9976680119941461
kodak_17,1024,4,23.2256,38.11390847178342,0.9985356348938124
kodak_18,512,0,5.80871,22.228993655932126,0.9110249130492243
kodak_18,512,1,6.12729,23.933958586540996,0.9512467853063548
kodak_18,512,2,8.61867,27.283255821451974,0.9827871718407258
kodak_18,512,3,8.29662,38.151611299009296,0.9975593502093891
kodak_18,1024,0,18.5272,21.99535977174232,0.8803627797814687
kodak_18,1024,1,18.2323,23.594124545067405,0.9276802058225014
kodak_18,1024,2,18.8081,26.47256363189365,0.9688794718641186
